date,y_gap,pi,ffr
1949 Q1,0.263132382,NA,NA
1949 Q2,-1.503240704,NA,NA
1949 Q3,-1.92793816,NA,NA
1949 Q4,-4.055475327,NA,NA
1950 Q1,-1.445074955,NA,NA
1950 Q2,0.221279876,NA,NA
1950 Q3,2.765773008,NA,NA
1950 Q4,3.385376298,NA,NA
1951 Q1,3.45451488,NA,NA
1951 Q2,3.924107001,NA,NA
1951 Q3,4.679260272,NA,NA
1951 Q4,3.464030782,NA,NA
1952 Q1,3.075692413,NA,NA
1952 Q2,1.715255219,NA,NA
1952 Q3,0.962996387,NA,NA
1952 Q4,2.866190326,NA,NA
1953 Q1,3.542806293,NA,NA
1953 Q2,3.274829937,NA,NA
1953 Q3,1.811021558,NA,NA
1953 Q4,-0.464953278,NA,NA
1954 Q1,-1.605345201,NA,NA
1954 Q2,-2.098811037,NA,NA
1954 Q3,-1.5703806,NA,NA
1954 Q4,-0.253993087,NA,NA
1955 Q1,1.981529227,NA,NA
1955 Q2,2.980015389,NA,NA
1955 Q3,3.721463592,NA,NA
1955 Q4,3.674786268,NA,NA
1956 Q1,2.610155066,NA,NA
1956 Q2,2.821012915,NA,NA
1956 Q3,2.072049063,NA,NA
1956 Q4,3.046723066,NA,NA
1957 Q1,2.932711629,NA,NA
1957 Q2,1.877224909,NA,NA
1957 Q3,1.998448029,NA,NA
1957 Q4,0.051267345,NA,NA
1958 Q1,-3.397523179,NA,NA
1958 Q2,-3.618252174,NA,NA
1958 Q3,-2.253362966,NA,NA
1958 Q4,-0.890169777,NA,NA
1959 Q1,0.058254814,NA,NA
1959 Q2,1.297060047,NA,NA
1959 Q3,0.301055441,NA,NA
1959 Q4,-0.476764422,NA,NA
1960 Q1,0.683430668,NA,3.9333333333333336
1960 Q2,-0.883661174,1.0098726840086059,3.6966666666666668
1960 Q3,-1.388152814,1.3683170796278787,2.9366666666666665
1960 Q4,-3.578339881,1.1838135128495963,2.296666666666667
1961 Q1,-3.825830149,0.8727462873178382,2.0033333333333334
1961 Q2,-3.038780233,0.9220134700868243,1.7333333333333334
1961 Q3,-2.05146997,1.0219729626706808,1.6833333333333333
1961 Q4,-1.034293706,1.2483688996477227,2.4
1962 Q1,-0.241869551,2.055124878511627,2.4566666666666666
1962 Q2,-0.381345388,0.6574374069925781,2.6066666666666665
1962 Q3,-0.249665309,0.8328866939576685,2.8466666666666667
1962 Q4,-1.026918418,0.8311560463047485,2.9233333333333333
1963 Q1,-1.038163792,1.732310882657373,2.966666666666667
1963 Q2,-0.99898832,0.7008324175668434,2.9633333333333334
1963 Q3,0.110648889,0.5248196685533557,3.33
1963 Q4,-0.29918499,3.2336473599835713,3.453333333333333
1964 Q1,0.735954781,1.2614795725744088,3.4633333333333334
1964 Q2,0.736068644,0.9127073738897096,3.49
1964 Q3,1.197458207,1.5983791594047503,3.4566666666666666
1964 Q4,0.410680024,1.8119521679437867,3.5766666666666667
1965 Q1,1.713110849,1.9982982951791683,3.9766666666666666
1965 Q2,1.907325227,1.8432094702287571,4.08
1965 Q3,3.047763606,1.5456156404251686,4.076666666666666
1965 Q4,4.292820198,2.7384204960272385,4.166666666666667
1966 Q1,5.684079426,2.553327089035662,4.56
1966 Q2,4.910766368,3.269192020647438,4.913333333333333
1966 Q3,4.663364573,3.850698909281647,5.41
1966 Q4,4.391103044,3.3276319780537023,5.5633333333333335
1967 Q1,4.161837945,1.6650310218484066,4.823333333333333
1967 Q2,3.060701082,2.025670439539695,3.9899999999999998
1967 Q3,2.859319594,3.8161905042164435,3.8933333333333335
1967 Q4,2.448295772,4.432930137332747,4.173333333333333
1968 Q1,3.352612034,4.4065872750421065,4.79
1968 Q2,3.915399474,4.204508726967582,5.983333333333333
1968 Q3,3.566030013,3.899264174358663,5.946666666666667
1968 Q4,2.83171086,5.6066074693969625,5.916666666666667
1969 Q1,3.341859945,4.106109623837995,6.566666666666666
1969 Q2,2.612765878,5.053054855854278,8.326666666666666
1969 Q3,2.329436222,5.591286991256084,8.983333333333333
1969 Q4,0.913019283,5.125768105087758,8.94
1970 Q1,-0.099371058,5.605860006596153,8.573333333333334
1970 Q2,-0.765357613,5.528380438975766,7.886666666666667
1970 Q3,-0.631174159,3.2688822622912284,6.706666666666667
1970 Q4,-2.451048274,5.253174928391502,5.566666666666666
1971 Q1,-0.594154579,6.029973591769178,3.8566666666666665
1971 Q2,-0.886720161,5.221608212655582,4.566666666666666
1971 Q3,-0.923463906,4.050047550510172,5.476666666666667
1971 Q4,-1.53411604,3.3223092396841736,4.75
1972 Q1,-0.549244823,6.050659551128135,3.5466666666666664
1972 Q2,0.917246635,2.482212747414003,4.3
1972 Q3,1.104068924,3.8028264153732394,4.743333333333333
1972 Q4,2.02530311,5.068232833727393,5.1466666666666665
1973 Q1,3.750048796,4.582802876821823,6.536666666666667
1973 Q2,4.028586739,6.110720735190256,7.816666666666666
1973 Q3,2.620469792,7.7049206641540025,10.56
1973 Q4,2.711004913,7.89272330966444,9.996666666666666
1974 Q1,0.954609821,7.478396154602862,9.323333333333334
1974 Q2,0.328082624,9.343348907253635,11.25
1974 Q3,-1.451623425,11.5589493270571,12.09
1974 Q4,-2.638875464,11.596345249408202,9.346666666666666
1975 Q1,-4.591656567,8.99081777910773,6.303333333333334
1975 Q2,-4.659422521,5.898063430866962,5.42
1975 Q3,-3.773385943,6.99902649210955,6.16
1975 Q4,-3.219358852,6.640037798877962,5.413333333333333
1976 Q1,-1.779903263,4.204169505048583,4.826666666666666
1976 Q2,-1.792567692,4.009157776192929,5.196666666666667
